id,item_group_id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,color,quantity_to_sell_on_facebook,google_product_category
juliet-45|cinza-escura-lente-azul,juliet-45,Oakley Juliet - Cinza escura · lente azul,"A Juliet integra a lendária linha X-Metal da Oakley, lançada no fim dos anos 90 e batizada em referência ao desenho técnico das lentes. Com armação metálica e visual arrojado, tornou-se peça cult no automobilismo e no streetwear, sendo um dos modelos mais colecionados da marca até hoje.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-juliet?cor=cinza-escura-lente-azul,https://rumorlupas.com/images/products/juliet-45/cinza-escura-lente-azul/1.jpeg,"https://rumorlupas.com/images/products/juliet-45/cinza-escura-lente-azul/2.jpeg,https://rumorlupas.com/images/products/juliet-45/cinza-escura-lente-azul/3.jpeg,https://rumorlupas.com/images/products/juliet-45/cinza-escura-lente-azul/4.jpeg",Oakley,Cinza escura · lente azul,1,178
juliet-45|cinza-escura-lente-rosa,juliet-45,Oakley Juliet - Cinza escura · lente rosa,"A Juliet integra a lendária linha X-Metal da Oakley, lançada no fim dos anos 90 e batizada em referência ao desenho técnico das lentes. Com armação metálica e visual arrojado, tornou-se peça cult no automobilismo e no streetwear, sendo um dos modelos mais colecionados da marca até hoje.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-juliet?cor=cinza-escura-lente-rosa,https://rumorlupas.com/images/products/juliet-45/cinza-escura-lente-rosa/1.jpeg,"https://rumorlupas.com/images/products/juliet-45/cinza-escura-lente-rosa/2.jpeg,https://rumorlupas.com/images/products/juliet-45/cinza-escura-lente-rosa/3.jpeg,https://rumorlupas.com/images/products/juliet-45/cinza-escura-lente-rosa/4.jpeg",Oakley,Cinza escura · lente rosa,1,178
juliet-45|dourada-lente-preta,juliet-45,Oakley Juliet - Dourada · lente preta,"A Juliet integra a lendária linha X-Metal da Oakley, lançada no fim dos anos 90 e batizada em referência ao desenho técnico das lentes. Com armação metálica e visual arrojado, tornou-se peça cult no automobilismo e no streetwear, sendo um dos modelos mais colecionados da marca até hoje.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-juliet?cor=dourada-lente-preta,https://rumorlupas.com/images/products/juliet-45/dourada-lente-preta/1.jpeg,"https://rumorlupas.com/images/products/juliet-45/dourada-lente-preta/2.jpeg,https://rumorlupas.com/images/products/juliet-45/dourada-lente-preta/3.jpeg,https://rumorlupas.com/images/products/juliet-45/dourada-lente-preta/4.jpeg",Oakley,Dourada · lente preta,1,178
xx-45|24k-lente-esmeralda,xx-45,Oakley XX - 24K · lente esmeralda,"O XX segue a linguagem geométrica e metálica que consagrou a família X-Metal da Oakley, com uma proposta ainda mais compacta e angular. Um modelo para quem busca o visual técnico da marca em um formato mais discreto.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-xx?cor=24k-lente-esmeralda,https://rumorlupas.com/images/products/xx-45/24k-lente-esmeralda/1.jpeg,"https://rumorlupas.com/images/products/xx-45/24k-lente-esmeralda/2.jpeg,https://rumorlupas.com/images/products/xx-45/24k-lente-esmeralda/3.jpeg,https://rumorlupas.com/images/products/xx-45/24k-lente-esmeralda/4.jpeg",Oakley,24K · lente esmeralda,2,178
plate-55|cinza-fosca-preta,plate-55,Oakley Plate - Cinza fosca · lente preta,"O Plate aposta em uma armação mais robusta e um visual urbano, afastando-se da estética puramente esportiva da Oakley em direção ao dia a dia da cidade sem abandonar a durabilidade que a marca é conhecida por entregar.",in stock,new,59.00 EUR,https://rumorlupas.com/lupas/oakley-plate?cor=cinza-fosca-preta,https://rumorlupas.com/images/products/plate-55/cinza-fosca-preta/1.jpeg,"https://rumorlupas.com/images/products/plate-55/cinza-fosca-preta/2.jpeg,https://rumorlupas.com/images/products/plate-55/cinza-fosca-preta/3.jpeg",Oakley,Cinza fosca · lente preta,1,178
plate-55|cinza-fosca-espelhada,plate-55,Oakley Plate - Cinza fosca · lente espelhada,"O Plate aposta em uma armação mais robusta e um visual urbano, afastando-se da estética puramente esportiva da Oakley em direção ao dia a dia da cidade sem abandonar a durabilidade que a marca é conhecida por entregar.",in stock,new,59.00 EUR,https://rumorlupas.com/lupas/oakley-plate?cor=cinza-fosca-espelhada,https://rumorlupas.com/images/products/plate-55/cinza-fosca-espelhada/1.jpeg,"https://rumorlupas.com/images/products/plate-55/cinza-fosca-espelhada/2.jpeg,https://rumorlupas.com/images/products/plate-55/cinza-fosca-espelhada/3.jpeg",Oakley,Cinza fosca · lente espelhada,1,178
plate-55|cinza-fosca-azul,plate-55,Oakley Plate - Cinza fosca · lente azul,"O Plate aposta em uma armação mais robusta e um visual urbano, afastando-se da estética puramente esportiva da Oakley em direção ao dia a dia da cidade sem abandonar a durabilidade que a marca é conhecida por entregar.",in stock,new,59.00 EUR,https://rumorlupas.com/lupas/oakley-plate?cor=cinza-fosca-azul,https://rumorlupas.com/images/products/plate-55/cinza-fosca-azul/1.jpeg,"https://rumorlupas.com/images/products/plate-55/cinza-fosca-azul/2.jpeg,https://rumorlupas.com/images/products/plate-55/cinza-fosca-azul/3.jpeg",Oakley,Cinza fosca · lente azul,2,178
plate-55|cinza-fosca-amarela,plate-55,Oakley Plate - Cinza fosca · lente amarela,"O Plate aposta em uma armação mais robusta e um visual urbano, afastando-se da estética puramente esportiva da Oakley em direção ao dia a dia da cidade sem abandonar a durabilidade que a marca é conhecida por entregar.",in stock,new,59.00 EUR,https://rumorlupas.com/lupas/oakley-plate?cor=cinza-fosca-amarela,https://rumorlupas.com/images/products/plate-55/cinza-fosca-amarela/1.jpeg,"https://rumorlupas.com/images/products/plate-55/cinza-fosca-amarela/2.jpeg,https://rumorlupas.com/images/products/plate-55/cinza-fosca-amarela/3.jpeg",Oakley,Cinza fosca · lente amarela,1,178
plate-55|cinza-fosca-tanzanite,plate-55,Oakley Plate - Cinza fosca · lente tanzanite,"O Plate aposta em uma armação mais robusta e um visual urbano, afastando-se da estética puramente esportiva da Oakley em direção ao dia a dia da cidade sem abandonar a durabilidade que a marca é conhecida por entregar.",out of stock,new,59.00 EUR,https://rumorlupas.com/lupas/oakley-plate?cor=cinza-fosca-tanzanite,https://rumorlupas.com/images/products/plate-55/cinza-fosca-tanzanite/1.jpeg,"https://rumorlupas.com/images/products/plate-55/cinza-fosca-tanzanite/2.jpeg,https://rumorlupas.com/images/products/plate-55/cinza-fosca-tanzanite/3.jpeg",Oakley,Cinza fosca · lente tanzanite,0,178
plate-55|cinza-escura-espelhada,plate-55,Oakley Plate - Cinza escura · lente espelhada,"O Plate aposta em uma armação mais robusta e um visual urbano, afastando-se da estética puramente esportiva da Oakley em direção ao dia a dia da cidade sem abandonar a durabilidade que a marca é conhecida por entregar.",in stock,new,59.00 EUR,https://rumorlupas.com/lupas/oakley-plate?cor=cinza-escura-espelhada,https://rumorlupas.com/images/products/plate-55/cinza-escura-espelhada/1.jpeg,"https://rumorlupas.com/images/products/plate-55/cinza-escura-espelhada/2.jpeg,https://rumorlupas.com/images/products/plate-55/cinza-escura-espelhada/3.jpeg",Oakley,Cinza escura · lente espelhada,1,178
plate-55|preta-roxa,plate-55,Oakley Plate - Preta · lente roxa,"O Plate aposta em uma armação mais robusta e um visual urbano, afastando-se da estética puramente esportiva da Oakley em direção ao dia a dia da cidade sem abandonar a durabilidade que a marca é conhecida por entregar.",in stock,new,59.00 EUR,https://rumorlupas.com/lupas/oakley-plate?cor=preta-roxa,https://rumorlupas.com/images/products/plate-55/preta-roxa/1.jpeg,"https://rumorlupas.com/images/products/plate-55/preta-roxa/2.jpeg,https://rumorlupas.com/images/products/plate-55/preta-roxa/3.jpeg",Oakley,Preta · lente roxa,3,178
gascan-50|preta-lente-preta,gascan-50,Oakley Gascan - Preta · lente preta,"Introduzido no início dos anos 2000, o Gascan é hoje um dos formatos mais duradouros do catálogo Oakley — simples, versátil e igualmente à vontade na praia, na cidade ou na trilha. Sua permanência em produção por mais de duas décadas é rara entre os modelos da marca.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-gascan?cor=preta-lente-preta,https://rumorlupas.com/images/products/gascan-50/preta-lente-preta/1.jpeg,"https://rumorlupas.com/images/products/gascan-50/preta-lente-preta/2.jpeg,https://rumorlupas.com/images/products/gascan-50/preta-lente-preta/3.jpeg,https://rumorlupas.com/images/products/gascan-50/preta-lente-preta/4.jpeg",Oakley,Preta · lente preta,2,178
gascan-50|preta-lente-laranja,gascan-50,Oakley Gascan - Preta · lente laranja,"Introduzido no início dos anos 2000, o Gascan é hoje um dos formatos mais duradouros do catálogo Oakley — simples, versátil e igualmente à vontade na praia, na cidade ou na trilha. Sua permanência em produção por mais de duas décadas é rara entre os modelos da marca.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-gascan?cor=preta-lente-laranja,https://rumorlupas.com/images/products/gascan-50/preta-lente-laranja/1.jpeg,"https://rumorlupas.com/images/products/gascan-50/preta-lente-laranja/2.jpeg,https://rumorlupas.com/images/products/gascan-50/preta-lente-laranja/3.jpeg,https://rumorlupas.com/images/products/gascan-50/preta-lente-laranja/4.jpeg",Oakley,Preta · lente laranja,1,178
gascan-50|preta-transparente-lente-preta,gascan-50,Oakley Gascan - Preta transparente · lente preta,"Introduzido no início dos anos 2000, o Gascan é hoje um dos formatos mais duradouros do catálogo Oakley — simples, versátil e igualmente à vontade na praia, na cidade ou na trilha. Sua permanência em produção por mais de duas décadas é rara entre os modelos da marca.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-gascan?cor=preta-transparente-lente-preta,https://rumorlupas.com/images/products/gascan-50/preta-transparente-lente-preta/1.jpeg,"https://rumorlupas.com/images/products/gascan-50/preta-transparente-lente-preta/2.jpeg,https://rumorlupas.com/images/products/gascan-50/preta-transparente-lente-preta/3.jpeg,https://rumorlupas.com/images/products/gascan-50/preta-transparente-lente-preta/4.jpeg",Oakley,Preta transparente · lente preta,2,178
gascan-50|preta-transparente-lente-espelhada,gascan-50,Oakley Gascan - Preta transparente · lente espelhada,"Introduzido no início dos anos 2000, o Gascan é hoje um dos formatos mais duradouros do catálogo Oakley — simples, versátil e igualmente à vontade na praia, na cidade ou na trilha. Sua permanência em produção por mais de duas décadas é rara entre os modelos da marca.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-gascan?cor=preta-transparente-lente-espelhada,https://rumorlupas.com/images/products/gascan-50/preta-transparente-lente-espelhada/1.jpeg,"https://rumorlupas.com/images/products/gascan-50/preta-transparente-lente-espelhada/2.jpeg,https://rumorlupas.com/images/products/gascan-50/preta-transparente-lente-espelhada/3.jpeg,https://rumorlupas.com/images/products/gascan-50/preta-transparente-lente-espelhada/4.jpeg",Oakley,Preta transparente · lente espelhada,2,178
gascan-50|branca-transparente-lente-laranja,gascan-50,Oakley Gascan - Branca transparente · lente laranja,"Introduzido no início dos anos 2000, o Gascan é hoje um dos formatos mais duradouros do catálogo Oakley — simples, versátil e igualmente à vontade na praia, na cidade ou na trilha. Sua permanência em produção por mais de duas décadas é rara entre os modelos da marca.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-gascan?cor=branca-transparente-lente-laranja,https://rumorlupas.com/images/products/gascan-50/branca-transparente-lente-laranja/1.jpeg,"https://rumorlupas.com/images/products/gascan-50/branca-transparente-lente-laranja/2.jpeg,https://rumorlupas.com/images/products/gascan-50/branca-transparente-lente-laranja/3.jpeg,https://rumorlupas.com/images/products/gascan-50/branca-transparente-lente-laranja/4.jpeg",Oakley,Branca transparente · lente laranja,1,178
monster-dog-47|preta-lente-preta,monster-dog-47,Oakley Monster Dog - Preta · lente preta,"O Monster Dog nasceu da fase mais experimental do design da Oakley nos anos 2000, com uma armação larga e presença marcante. Um modelo para quem não tem medo de um visual mais ousado.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-monster-dog?cor=preta-lente-preta,https://rumorlupas.com/images/products/monster-dog-47/preta-lente-preta/1.jpeg,"https://rumorlupas.com/images/products/monster-dog-47/preta-lente-preta/2.jpeg,https://rumorlupas.com/images/products/monster-dog-47/preta-lente-preta/3.jpeg,https://rumorlupas.com/images/products/monster-dog-47/preta-lente-preta/4.jpeg,https://rumorlupas.com/images/products/monster-dog-47/preta-lente-preta/model.jpeg",Oakley,Preta · lente preta,1,178
dartboard-50|preta-lente-preta,dartboard-50,Oakley Dartboard - Preta · lente preta,"O Dartboard traz uma lente circular ampla sobre uma armação leve, equilibrando um visual retrô com a tecnologia de lentes que a Oakley desenvolveu para uso esportivo intenso.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-dartboard?cor=preta-lente-preta,https://rumorlupas.com/images/products/dartboard-50/preta-lente-preta/1.jpeg,"https://rumorlupas.com/images/products/dartboard-50/preta-lente-preta/2.jpeg,https://rumorlupas.com/images/products/dartboard-50/preta-lente-preta/3.jpeg,https://rumorlupas.com/images/products/dartboard-50/preta-lente-preta/4.jpeg,https://rumorlupas.com/images/products/dartboard-50/model.jpeg",Oakley,Preta · lente preta,1,178
dartboard-50|branca-lente-azul,dartboard-50,Oakley Dartboard - Branca · lente azul,"O Dartboard traz uma lente circular ampla sobre uma armação leve, equilibrando um visual retrô com a tecnologia de lentes que a Oakley desenvolveu para uso esportivo intenso.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-dartboard?cor=branca-lente-azul,https://rumorlupas.com/images/products/dartboard-50/branca-lente-azul/1.jpeg,"https://rumorlupas.com/images/products/dartboard-50/branca-lente-azul/2.jpeg,https://rumorlupas.com/images/products/dartboard-50/branca-lente-azul/3.jpeg,https://rumorlupas.com/images/products/dartboard-50/branca-lente-azul/4.jpeg,https://rumorlupas.com/images/products/dartboard-50/model.jpeg",Oakley,Branca · lente azul,1,178
dartboard-50|branca-lente-transparente,dartboard-50,Oakley Dartboard - Branca · lente transparente,"O Dartboard traz uma lente circular ampla sobre uma armação leve, equilibrando um visual retrô com a tecnologia de lentes que a Oakley desenvolveu para uso esportivo intenso.",out of stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-dartboard?cor=branca-lente-transparente,https://rumorlupas.com/images/products/dartboard-50/branca-lente-transparente/1.jpeg,"https://rumorlupas.com/images/products/dartboard-50/branca-lente-transparente/2.jpeg,https://rumorlupas.com/images/products/dartboard-50/branca-lente-transparente/3.jpeg,https://rumorlupas.com/images/products/dartboard-50/branca-lente-transparente/4.jpeg,https://rumorlupas.com/images/products/dartboard-50/model.jpeg",Oakley,Branca · lente transparente,0,178
dartboard-50|castanha-lente-gold,dartboard-50,Oakley Dartboard - Castanha · lente dourada,"O Dartboard traz uma lente circular ampla sobre uma armação leve, equilibrando um visual retrô com a tecnologia de lentes que a Oakley desenvolveu para uso esportivo intenso.",out of stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-dartboard?cor=castanha-lente-gold,https://rumorlupas.com/images/products/dartboard-50/castanha-lente-gold/1.jpeg,"https://rumorlupas.com/images/products/dartboard-50/castanha-lente-gold/2.jpeg,https://rumorlupas.com/images/products/dartboard-50/castanha-lente-gold/3.jpeg,https://rumorlupas.com/images/products/dartboard-50/castanha-lente-gold/4.jpeg,https://rumorlupas.com/images/products/dartboard-50/model.jpeg",Oakley,Castanha · lente dourada,0,178
flak-2xl-45|preta-lente-espelhada,flak-2xl-45,Oakley Flak 2.0 XL - Preta · lente espelhada,"O Flak é uma das silhuetas mais populares e duradouras da Oakley, adotado amplamente no ciclismo e no atletismo pela estabilidade e campo de visão. A versão 2.0 XL amplia o encaixe para rostos maiores, mantendo a mesma proposta de performance.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-flak-2-0-xl?cor=preta-lente-espelhada,https://rumorlupas.com/images/products/flak-2xl-45/preta-lente-espelhada/1.jpeg,"https://rumorlupas.com/images/products/flak-2xl-45/preta-lente-espelhada/2.jpeg,https://rumorlupas.com/images/products/flak-2xl-45/preta-lente-espelhada/3.jpeg,https://rumorlupas.com/images/products/flak-2xl-45/preta-lente-espelhada/4.jpeg",Oakley,Preta · lente espelhada,1,178
flak-2xl-45|azul-lente-azul,flak-2xl-45,Oakley Flak 2.0 XL - Azul · lente azul,"O Flak é uma das silhuetas mais populares e duradouras da Oakley, adotado amplamente no ciclismo e no atletismo pela estabilidade e campo de visão. A versão 2.0 XL amplia o encaixe para rostos maiores, mantendo a mesma proposta de performance.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-flak-2-0-xl?cor=azul-lente-azul,https://rumorlupas.com/images/products/flak-2xl-45/azul-lente-azul/1.jpeg,"https://rumorlupas.com/images/products/flak-2xl-45/azul-lente-azul/2.jpeg,https://rumorlupas.com/images/products/flak-2xl-45/azul-lente-azul/3.jpeg,https://rumorlupas.com/images/products/flak-2xl-45/azul-lente-azul/4.jpeg",Oakley,Azul · lente azul,1,178
flak-2xl-45|vermelha-lente-laranja,flak-2xl-45,Oakley Flak 2.0 XL - Vermelha · lente laranja,"O Flak é uma das silhuetas mais populares e duradouras da Oakley, adotado amplamente no ciclismo e no atletismo pela estabilidade e campo de visão. A versão 2.0 XL amplia o encaixe para rostos maiores, mantendo a mesma proposta de performance.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-flak-2-0-xl?cor=vermelha-lente-laranja,https://rumorlupas.com/images/products/flak-2xl-45/vermelha-lente-laranja/1.jpeg,"https://rumorlupas.com/images/products/flak-2xl-45/vermelha-lente-laranja/2.jpeg,https://rumorlupas.com/images/products/flak-2xl-45/vermelha-lente-laranja/3.jpeg,https://rumorlupas.com/images/products/flak-2xl-45/vermelha-lente-laranja/4.jpeg",Oakley,Vermelha · lente laranja,1,178
flak-2xl-45|vermelha-lente-preta,flak-2xl-45,Oakley Flak 2.0 XL - Vermelha · lente preta,"O Flak é uma das silhuetas mais populares e duradouras da Oakley, adotado amplamente no ciclismo e no atletismo pela estabilidade e campo de visão. A versão 2.0 XL amplia o encaixe para rostos maiores, mantendo a mesma proposta de performance.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-flak-2-0-xl?cor=vermelha-lente-preta,https://rumorlupas.com/images/products/flak-2xl-45/vermelha-lente-preta/1.jpeg,"https://rumorlupas.com/images/products/flak-2xl-45/vermelha-lente-preta/2.jpeg,https://rumorlupas.com/images/products/flak-2xl-45/vermelha-lente-preta/3.jpeg,https://rumorlupas.com/images/products/flak-2xl-45/vermelha-lente-preta/4.jpeg",Oakley,Vermelha · lente preta,1,178
holbrook|preta-lente-preta,holbrook,Oakley Holbrook - Preta · lente preta,"O Holbrook é um dos desenhos mais populares da Oakley: linhas retas emprestadas dos óculos dos anos 40 e 50, hastes reforçadas e armação em O Matter. É o modelo mais fácil de usar do catálogo — passa de calções a camisa sem esforço.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-holbrook?cor=preta-lente-preta,https://rumorlupas.com/images/products/holbrook/preta-lente-preta/1.jpeg,"https://rumorlupas.com/images/products/holbrook/preta-lente-preta/2.jpeg,https://rumorlupas.com/images/products/holbrook/preta-lente-preta/3.jpeg,https://rumorlupas.com/images/products/holbrook/preta-lente-preta/4.jpeg",Oakley,Preta · lente preta,1,178
